,event_date,longitude,latitude,treecover2000
171,2007-08-10 00:00:00,81.601,28.601,0
172,2007-08-11 00:00:00,-76.5082,18.1258,100
173,2007-08-11 00:00:00,78.3027,30.0702,64
174,2007-08-11 00:00:00,34.75,0.2833,0
175,2007-08-11 00:00:00,34.85,0.5,16
176,2007-08-11 00:00:00,102.9955,29.9932,0
177,2007-08-12 00:00:00,34.2583,1.0439,89
178,2007-08-13 00:00:00,72.983,35.273,0
179,2007-08-13 00:00:00,78.499,17.3895,0
180,2007-08-14 00:00:00,-107.8818,39.9425,0
181,2007-08-14 00:00:00,73.6106,26.2208,0
182,2007-08-14 12:00:00,123.619,10.15,0
183,2007-08-18 00:00:00,-92.4671,44.0304,0
184,2007-08-18 00:00:00,-109.8662,44.4659,47
185,2007-08-19 00:00:00,120.6976,23.4715,85
186,2007-08-19 00:00:00,-91.2806,43.689,0
187,2007-08-19 00:00:00,118.698,25.0045,0
188,2007-08-19 00:00:00,-91.2194,43.6796,96
189,2007-08-20 00:00:00,98.3834,8.8427,0
190,2007-08-20 00:00:00,116.0617,26.8629,26
191,2007-08-20 00:00:00,-80.7935,39.958,96
192,2007-08-21 00:00:00,-88.9286,15.5163,80
193,2007-08-22 00:00:00,105.6122,34.638,0
194,2007-08-23 00:00:00,-97.85,19.9333,54
195,2007-08-23 00:00:00,124.6807,39.9378,0
196,2007-08-23 00:00:00,100.8333,17.1167,0
197,2007-08-25 00:00:00,103.72,27.32,0
198,2007-08-25 00:00:00,100.7943,4.8525,98
199,2007-08-25 00:00:00,104.5167,28.7,8
200,2007-08-26 00:00:00,121.1571,22.9798,0
201,2007-08-26 00:00:00,91.8506,25.5576,91
202,2007-08-26 00:00:00,93.55,24.9667,74
203,2007-08-31 00:00:00,83.25,28.0667,0
204,2007-08-31 00:00:00,88.3403,22.6461,0
205,2007-08-31 00:00:00,93.9667,25.1333,0
206,2007-09-01 00:00:00,73.5446,17.2634,11
207,2007-09-01 00:00:00,116.831,-1.2654,0
208,2007-09-01 00:00:00,-60.6742,11.2415,99
209,2007-09-02 00:00:00,-107.622,24.9531,0
210,2007-09-02 00:00:00,81.6018,29.184,0
211,2007-09-05 00:00:00,-114.4194,43.6846,14
212,2007-09-06 00:00:00,-106.8295,40.4613,9
213,2007-09-07 00:00:00,138.85,37.03,0
214,2007-09-07 00:00:00,35.4667,1.4833,0
215,2007-09-07 00:00:00,73.8362,15.5063,0
216,2007-09-08 00:00:00,93.9877,25.0604,95
217,2007-09-08 00:00:00,99.0333,23.9,0
218,2007-09-09 00:00:00,-84.1167,10.0,0
219,2007-09-09 00:00:00,-61.3642,15.3055,95
220,2007-09-10 00:00:00,90.9733,23.8917,0
221,2007-09-10 00:00:00,88.6236,27.3425,0
222,2007-09-10 00:00:00,94.0691,24.2451,78
223,2007-09-11 00:00:00,122.2,11.0333,64
224,2007-09-11 00:00:00,91.27,25.52,76
225,2007-09-11 00:00:00,94.0564,24.4279,0
226,2007-09-12 00:00:00,87.2167,27.3667,0
227,2007-09-13 00:00:00,91.8,26.1833,12
228,2007-09-15 00:00:00,98.2559,8.5695,100
229,2007-09-17 00:00:00,-107.5798,39.5542,0
230,2007-09-17 00:00:00,123.1706,9.9242,49
231,2007-09-18 00:00:00,15.0836,46.4719,0
232,2007-09-19 00:00:00,120.9413,28.1214,49
233,2007-09-19 00:00:00,29.583,-1.783,28
234,2007-09-20 00:00:00,126.0353778,7.364469237,20
235,2007-09-20 00:00:00,100.1589,18.1578,0
236,2007-09-20 00:00:00,122.6167,10.6,30
237,2007-09-22 00:00:00,-90.5316,14.6229,0
238,2007-09-22 00:00:00,-118.2974,34.1364,0
239,2007-09-23 00:00:00,83.9462,21.464,0
240,2007-09-24 00:00:00,169.1339,-44.3025,0
241,2007-09-28 00:00:00,-97.9,20.2,76
242,2007-09-29 00:00:00,121.1167,16.8333,0
243,2007-09-29 00:00:00,83.4833,27.8667,0
244,2007-10-02 00:00:00,120.864,14.889,44
245,2007-10-03 00:00:00,116.5956,5.9975,0
246,2007-10-05 00:00:00,121.4833,25.1167,0
247,2007-10-05 00:00:00,121.55,25.15,0
248,2007-10-05 00:00:00,103.9,21.3167,0
249,2007-10-05 00:00:00,105.35,20.04,55
250,2007-10-08 00:00:00,120.4216,28.1292,0
