event_date,longitude,latitude,landslide_size
2007-08-10 00:00:00,86.85,27.016,medium
2007-08-10 00:00:00,145.5473,-41.7689,small
2007-08-10 00:00:00,81.601,28.601,medium
2007-08-11 00:00:00,-76.5082,18.1258,medium
2007-08-11 00:00:00,78.3027,30.0702,medium
2007-08-11 00:00:00,34.75,0.2833,large
2007-08-11 00:00:00,34.85,0.5,medium
2007-08-11 00:00:00,102.9955,29.9932,medium
2007-08-12 00:00:00,34.2583,1.0439,medium
2007-08-13 00:00:00,72.983,35.273,large
2007-08-13 00:00:00,78.499,17.3895,medium
2007-08-14 00:00:00,-107.8818,39.9425,medium
2007-08-14 00:00:00,73.6106,26.2208,very_large
2007-08-14 12:00:00,123.619,10.15,medium
2007-08-18 00:00:00,-92.4671,44.0304,small
2007-08-18 00:00:00,-109.8662,44.4659,small
2007-08-19 00:00:00,120.6976,23.4715,medium
2007-08-19 00:00:00,-91.2806,43.689,medium
2007-08-19 00:00:00,118.698,25.0045,medium
2007-08-19 00:00:00,-91.2194,43.6796,medium
2007-08-20 00:00:00,98.3834,8.8427,medium
2007-08-20 00:00:00,116.0617,26.8629,medium
2007-08-20 00:00:00,-80.7935,39.958,small
2007-08-21 00:00:00,-88.9286,15.5163,medium
2007-08-22 00:00:00,105.6122,34.638,medium
2007-08-23 00:00:00,-97.85,19.9333,medium
2007-08-23 00:00:00,124.6807,39.9378,medium
2007-08-23 00:00:00,100.8333,17.1167,medium
2007-08-25 00:00:00,103.72,27.32,medium
2007-08-25 00:00:00,100.7943,4.8525,medium
2007-08-25 00:00:00,104.5167,28.7,medium
2007-08-26 00:00:00,121.1571,22.9798,medium
2007-08-26 00:00:00,91.8506,25.5576,medium
2007-08-26 00:00:00,93.55,24.9667,medium
2007-08-31 00:00:00,83.25,28.0667,medium
2007-08-31 00:00:00,88.3403,22.6461,medium
2007-08-31 00:00:00,93.9667,25.1333,medium
2007-09-01 00:00:00,73.5446,17.2634,medium
2007-09-01 00:00:00,116.831,-1.2654,medium
2007-09-01 00:00:00,-60.6742,11.2415,medium
2007-09-02 00:00:00,-107.622,24.9531,medium
2007-09-02 00:00:00,81.6018,29.184,medium
2007-09-05 00:00:00,-114.4194,43.6846,medium
2007-09-06 00:00:00,-106.8295,40.4613,small
2007-09-07 00:00:00,138.85,37.03,medium
2007-09-07 00:00:00,35.4667,1.4833,medium
2007-09-07 00:00:00,73.8362,15.5063,medium
2007-09-08 00:00:00,93.9877,25.0604,medium
2007-09-08 00:00:00,99.0333,23.9,medium
2007-09-09 00:00:00,-84.1167,10.0,medium
2007-09-09 00:00:00,-61.3642,15.3055,medium
2007-09-10 00:00:00,90.9733,23.8917,medium
2007-09-10 00:00:00,88.6236,27.3425,medium
2007-09-10 00:00:00,94.0691,24.2451,medium
2007-09-11 00:00:00,122.2,11.0333,medium
2007-09-11 00:00:00,91.27,25.52,medium
2007-09-11 00:00:00,94.0564,24.4279,medium
2007-09-12 00:00:00,87.2167,27.3667,medium
2007-09-13 00:00:00,91.8,26.1833,medium
2007-09-15 00:00:00,98.2559,8.5695,medium
2007-09-17 00:00:00,-107.5798,39.5542,medium
2007-09-17 00:00:00,123.1706,9.9242,medium
2007-09-18 00:00:00,15.0836,46.4719,medium
2007-09-19 00:00:00,120.9413,28.1214,large
2007-09-19 00:00:00,29.583,-1.783,medium
2007-09-20 00:00:00,126.0353778,7.364469237,large
2007-09-20 00:00:00,100.1589,18.1578,medium
2007-09-20 00:00:00,122.6167,10.6,medium
2007-09-22 00:00:00,-90.5316,14.6229,medium
2007-09-22 00:00:00,-118.2974,34.1364,small
2007-09-23 00:00:00,83.9462,21.464,medium
2007-09-24 00:00:00,169.1339,-44.3025,large
2007-09-28 00:00:00,-97.9,20.2,medium
2007-09-29 00:00:00,121.1167,16.8333,medium
2007-09-29 00:00:00,83.4833,27.8667,medium
2007-10-02 00:00:00,120.864,14.889,medium
2007-10-03 00:00:00,116.5956,5.9975,large
2007-10-05 00:00:00,121.4833,25.1167,medium
2007-10-05 00:00:00,121.55,25.15,medium
2007-10-05 00:00:00,103.9,21.3167,large
2007-10-05 00:00:00,105.35,20.04,large
2007-10-08 00:00:00,120.4216,28.1292,medium
2007-10-09 00:00:00,-84.125,9.7789,medium
2007-10-10 00:00:00,117.7081,32.4792,medium
2007-10-11 00:00:00,-84.407,9.9869,large
2007-10-11 00:00:00,-83.9451,10.0214,large
2007-10-12 00:00:00,-77.7405,18.1257,medium
2007-10-12 00:00:00,-72.4133,18.7335,large
2007-10-13 00:00:00,-76.7719,2.9437,large
2007-10-14 00:00:00,123.0333,10.3333,medium
2007-10-14 06:45:00,-118.47,34.3778,medium
2007-10-15 00:00:00,107.9408,15.6045,medium
2007-10-15 00:00:00,89.4,22.5333,medium
2007-10-17 00:00:00,-76.35,17.95,medium
2007-10-17 00:00:00,124.033,12.75,large
2007-10-18 00:00:00,167.9581,-44.7493,medium
2007-10-18 00:00:00,-122.6717,45.2729,small
2007-10-19 00:00:00,91.5327,22.894,medium
2007-10-19 00:00:00,94.1162,25.4379,medium
2007-10-19 00:00:00,116.4453,6.043,medium
2007-10-19 00:00:00,120.5519,16.3183,medium
2007-10-21 00:00:00,93.4333,24.75,medium
2007-10-24 00:00:00,-84.7575,10.0715,medium
2007-10-26 00:00:00,76.6953,11.4046,large
2007-10-26 00:00:00,150.4476,-10.3038,medium
2007-10-26 00:00:00,15.2962,-4.3269,medium
2007-10-26 01:00:00,98.3071,7.8882,medium
2007-10-28 00:00:00,124.35,13.7,large
2007-10-28 00:00:00,-45.2007,-22.8287,medium
2007-10-28 00:00:00,-4.823,56.1997,medium
2007-10-29 00:00:00,123.3667,13.4,medium
2007-10-29 00:00:00,15.266,-4.276,medium
2007-10-29 00:00:00,-70.044,18.427,medium
2007-10-29 00:00:00,-72.3361,18.5146,medium
2007-10-30 00:00:00,107.966,15.5946,medium
2007-10-30 00:00:00,77.1236,11.2777,medium
2007-10-30 00:00:00,-118.4948,35.1368,medium
2007-10-31 00:00:00,-76.7088,18.037,medium
2007-10-31 00:00:00,-76.9659,18.2152,medium
2007-10-31 00:00:00,-92.5534,17.9493,medium
2007-10-31 00:00:00,-76.6479,17.9384,medium
2007-11-01 00:00:00,-70.6,19.305,large
2007-11-02 00:00:00,-121.9383,45.6706,small
2007-11-03 00:00:00,-157.829,21.3131,small
2007-11-04 00:00:00,-93.306,17.39,very_large
2007-11-04 00:00:00,124.3807,13.7143,medium
2007-11-04 00:00:00,120.6101,16.3748,medium
2007-11-05 00:00:00,108.4852,15.234,medium
2007-11-06 00:00:00,103.685,35.978,medium
2007-11-06 00:00:00,80.4119,6.1454,medium
2007-11-09 00:00:00,108.2167,15.3333,medium
2007-11-10 15:20:00,108.903,34.1622,medium
2007-11-12 00:00:00,-77.2,18.4,medium
2007-11-13 00:00:00,-121.5386,46.8677,small
2007-11-13 22:00:00,125.5245,11.1719,medium
2007-11-14 02:00:00,146.392,-38.1718,large
2007-11-17 00:00:00,-60.6312,11.2965,medium
2007-11-18 00:00:00,21.65,37.4833,medium
2007-11-19 00:00:00,125.5033192,9.762920707,medium
2007-11-19 00:00:00,125.0039,12.5054,medium
2007-11-19 00:00:00,125.570322,9.686187255,medium
2007-11-19 00:00:00,125.5700193,9.630751852,medium
2007-11-19 00:00:00,124.2856,13.6068,medium
2007-11-20 00:00:00,110.3272,30.9947,large
2007-11-20 00:00:00,125.302781,8.204811901,medium
2007-11-20 00:00:00,123.8514,10.3789,medium
2007-11-20 00:00:00,125.277963,7.376079815,medium
2007-11-20 00:00:00,124.3458148,8.385243799,medium
2007-11-20 00:00:00,124.5345867,8.087753906,medium
2007-11-22 00:00:00,-15.441,28.1223,small
2007-11-23 00:00:00,121.3088,14.4882,medium
2007-11-23 00:00:00,124.21,13.949,medium
2007-11-24 00:00:00,124.1604,13.7856,medium
2007-11-25 00:00:00,121.25,17.75,medium
2007-11-26 00:00:00,120.9096,18.5038,medium
2007-11-28 00:00:00,-155.8801,19.4272,medium
2007-11-30 00:00:00,-117.1378,33.0409,small
2007-12-01 00:00:00,13.8188,47.8734,very_large
2007-12-03 00:00:00,-123.0135,47.0568,medium
