event_date,longitude,latitude,temp
2007-08-08 00:00:00,94.4332,21.5332,27.4
2007-08-09 00:00:00,98.6333,14.7333,24.7
2007-08-09 00:00:00,-90.45,14.5667,20.4
2007-08-09 00:00:00,74.8481,12.8733,24.9
2007-08-10 00:00:00,86.85,27.016,27.3
2007-08-10 00:00:00,145.5473,-41.7689,5.8
2007-08-10 00:00:00,81.601,28.601,27.4
2007-08-11 00:00:00,-76.5082,18.1258,24.7
2007-08-11 00:00:00,78.3027,30.0702,25.4
2007-08-11 00:00:00,34.75,0.2833,20.6
2007-08-11 00:00:00,34.85,0.5,19.4
2007-08-11 00:00:00,102.9955,29.9932,26.3
2007-08-12 00:00:00,34.2583,1.0439,20.7
2007-08-13 00:00:00,72.983,35.273,29.6
2007-08-13 00:00:00,78.499,17.3895,26.9
2007-08-14 00:00:00,-107.8818,39.9425,20.8
2007-08-14 00:00:00,73.6106,26.2208,28.5
2007-08-14 12:00:00,123.619,10.15,30.0
2007-08-18 00:00:00,-92.4671,44.0304,14.8
2007-08-18 00:00:00,-109.8662,44.4659,13.5
2007-08-19 00:00:00,120.6976,23.4715,26.2
2007-08-19 00:00:00,-91.2806,43.689,16.8
2007-08-19 00:00:00,118.698,25.0045,25.5
2007-08-19 00:00:00,-91.2194,43.6796,16.8
2007-08-20 00:00:00,98.3834,8.8427,26.1
2007-08-20 00:00:00,116.0617,26.8629,25.7
2007-08-20 00:00:00,-80.7935,39.958,19.0
2007-08-21 00:00:00,-88.9286,15.5163,27.7
2007-08-22 00:00:00,105.6122,34.638,22.6
2007-08-23 00:00:00,-97.85,19.9333,16.4
2007-08-23 00:00:00,124.6807,39.9378,23.8
2007-08-23 00:00:00,100.8333,17.1167,27.4
2007-08-25 00:00:00,103.72,27.32,19.2
2007-08-25 00:00:00,100.7943,4.8525,27.1
2007-08-25 00:00:00,104.5167,28.7,27.1
2007-08-26 00:00:00,121.1571,22.9798,25.0
2007-08-26 00:00:00,91.8506,25.5576,27.9
2007-08-26 00:00:00,93.55,24.9667,24.4
2007-08-31 00:00:00,83.25,28.0667,27.6
2007-08-31 00:00:00,88.3403,22.6461,30.7
2007-08-31 00:00:00,93.9667,25.1333,25.9
2007-09-01 00:00:00,73.5446,17.2634,25.1
2007-09-01 00:00:00,116.831,-1.2654,25.9
2007-09-01 00:00:00,-60.6742,11.2415,26.0
2007-09-02 00:00:00,-107.622,24.9531,33.4
