event_date,longitude,latitude,humidity
2007-09-15 00:00:00,98.2559,8.5695,88.99
2007-09-17 00:00:00,-107.5798,39.5542,67.26
2007-09-17 00:00:00,123.1706,9.9242,84.75
2007-09-18 00:00:00,15.0836,46.4719,89.96
2007-09-19 00:00:00,120.9413,28.1214,90.58
2007-09-19 00:00:00,29.583,-1.783,68.11
2007-09-20 00:00:00,126.0353778,7.364469237,83.41
2007-09-20 00:00:00,100.1589,18.1578,88.21
2007-09-20 00:00:00,122.6167,10.6,85.45
2007-09-22 00:00:00,-90.5316,14.6229,85.66
2007-09-22 00:00:00,-118.2974,34.1364,75.9
2007-09-23 00:00:00,83.9462,21.464,94.13
2007-09-24 00:00:00,169.1339,-44.3025,67.14
2007-09-28 00:00:00,-97.9,20.2,92.51
2007-09-29 00:00:00,121.1167,16.8333,98.09
2007-09-29 00:00:00,83.4833,27.8667,97.61
2007-10-02 00:00:00,120.864,14.889,93.03
2007-10-03 00:00:00,116.5956,5.9975,81.89
2007-10-05 00:00:00,121.4833,25.1167,77.73
2007-10-05 00:00:00,121.55,25.15,77.36
2007-10-05 00:00:00,103.9,21.3167,94.73
2007-10-05 00:00:00,105.35,20.04,95.39
2007-10-08 00:00:00,120.4216,28.1292,86.22
2007-10-09 00:00:00,-84.125,9.7789,94.25
2007-10-10 00:00:00,117.7081,32.4792,64.4
2007-10-11 00:00:00,-84.407,9.9869,91.03
2007-10-11 00:00:00,-83.9451,10.0214,90.99
2007-10-12 00:00:00,-77.7405,18.1257,90.69
2007-10-12 00:00:00,-72.4133,18.7335,68.35
2007-10-13 00:00:00,-76.7719,2.9437,81.61
2007-10-14 00:00:00,123.0333,10.3333,78.0
2007-10-14 06:45:00,-118.47,34.3778,75.62
2007-10-15 00:00:00,107.9408,15.6045,93.74
2007-10-15 00:00:00,89.4,22.5333,93.13
2007-10-17 00:00:00,-76.35,17.95,74.3
2007-10-17 00:00:00,124.033,12.75,86.18
2007-10-18 00:00:00,167.9581,-44.7493,60.79
2007-10-18 00:00:00,-122.6717,45.2729,79.31
2007-10-19 00:00:00,91.5327,22.894,81.42
2007-10-19 00:00:00,94.1162,25.4379,78.56
2007-10-19 00:00:00,116.4453,6.043,83.46
2007-10-19 00:00:00,120.5519,16.3183,88.0
2007-10-21 00:00:00,93.4333,24.75,83.32
2007-10-24 00:00:00,-84.7575,10.0715,84.63
2007-10-26 00:00:00,76.6953,11.4046,85.83
2007-10-26 00:00:00,150.4476,-10.3038,75.47
2007-10-26 00:00:00,15.2962,-4.3269,91.92
2007-10-26 01:00:00,98.3071,7.8882,88.04
2007-10-28 00:00:00,124.35,13.7,93.51
2007-10-28 00:00:00,-45.2007,-22.8287,68.35
2007-10-28 00:00:00,-4.823,56.1997,86.84
2007-10-29 00:00:00,123.3667,13.4,87.67
2007-10-29 00:00:00,15.266,-4.276,74.2
2007-10-29 00:00:00,-70.044,18.427,94.27
2007-10-29 00:00:00,-72.3361,18.5146,78.93
2007-10-30 00:00:00,107.966,15.5946,89.74
2007-10-30 00:00:00,77.1236,11.2777,77.47
2007-10-30 00:00:00,-118.4948,35.1368,66.42
2007-10-31 00:00:00,-76.7088,18.037,83.92
2007-10-31 00:00:00,-76.9659,18.2152,83.92
2007-10-31 00:00:00,-92.5534,17.9493,83.46
2007-10-31 00:00:00,-76.6479,17.9384,83.92
2007-11-01 00:00:00,-70.6,19.305,84.46
2007-11-02 00:00:00,-121.9383,45.6706,80.73
2007-11-03 00:00:00,-157.829,21.3131,75.33
2007-11-04 00:00:00,-93.306,17.39,78.17
2007-11-04 00:00:00,124.3807,13.7143,91.8
2007-11-04 00:00:00,120.6101,16.3748,90.82
2007-11-05 00:00:00,108.4852,15.234,86.47
2007-11-06 00:00:00,103.685,35.978,70.17
2007-11-06 00:00:00,80.4119,6.1454,89.08
2007-11-09 00:00:00,108.2167,15.3333,78.89
2007-11-10 15:20:00,108.903,34.1622,69.8
2007-11-12 00:00:00,-77.2,18.4,85.46
2007-11-13 00:00:00,-121.5386,46.8677,80.23
2007-11-13 22:00:00,125.5245,11.1719,93.1
2007-11-14 02:00:00,146.392,-38.1718,81.68
2007-11-17 00:00:00,-60.6312,11.2965,85.33
2007-11-18 00:00:00,21.65,37.4833,86.84
2007-11-19 00:00:00,125.5033192,9.762920707,94.88
2007-11-19 00:00:00,125.0039,12.5054,96.78
2007-11-19 00:00:00,125.570322,9.686187255,94.88
2007-11-19 00:00:00,125.5700193,9.630751852,94.94
2007-11-19 00:00:00,124.2856,13.6068,89.76
2007-11-20 00:00:00,110.3272,30.9947,82.16
2007-11-20 00:00:00,125.302781,8.204811901,86.61
2007-11-20 00:00:00,123.8514,10.3789,92.32
2007-11-20 00:00:00,125.277963,7.376079815,84.52
2007-11-20 00:00:00,124.3458148,8.385243799,92.74
2007-11-20 00:00:00,124.5345867,8.087753906,91.09
2007-11-22 00:00:00,-15.441,28.1223,76.55
2007-11-23 00:00:00,121.3088,14.4882,86.07
2007-11-23 00:00:00,124.21,13.949,91.66
2007-11-24 00:00:00,124.1604,13.7856,92.48
2007-11-25 00:00:00,121.25,17.75,93.99
2007-11-26 00:00:00,120.9096,18.5038,94.46
2007-11-28 00:00:00,-155.8801,19.4272,86.4
2007-11-30 00:00:00,-117.1378,33.0409,80.9
2007-12-01 00:00:00,13.8188,47.8734,89.15
2007-12-03 00:00:00,-123.0135,47.0568,89.12
2007-12-03 00:00:00,-122.3406,47.6373,90.16
2007-12-03 00:00:00,-123.1628,47.3434,89.93
2007-12-03 10:00:00,-123.1341,49.3,91.23
2007-12-04 17:30:00,-123.8673,43.6768,87.99
2007-12-05 00:00:00,107.4435,-6.7883,84.18
2007-12-05 00:00:00,-122.416,47.645,84.31
2007-12-07 14:30:00,-158.121,21.462,81.68
2007-12-08 00:00:00,-84.822,39.101,90.17
2007-12-08 00:00:00,-122.2039,47.4728,58.05
2007-12-11 00:00:00,38.235,-3.571,78.23
2007-12-11 00:00:00,-60.566,11.267,82.23
2007-12-11 00:00:00,-60.644,11.3,82.23
2007-12-11 00:00:00,-70.707,19.455,96.83
2007-12-11 12:00:00,-123.336,46.1049,75.23
2007-12-12 00:00:00,-66.051,18.432,81.34
2007-12-12 00:00:00,-123.204,46.103,83.18
2007-12-16 00:00:00,-79.7569,40.3875,82.59
2007-12-19 00:00:00,-74.7631,4.847,91.66
2007-12-24 00:00:00,81.0473,6.9935,89.9
2007-12-26 00:00:00,111.1835,-7.6511,94.15
2007-12-26 00:00:00,109.547,-7.6213,77.2
2007-12-31 00:00:00,111.1167,-7.6667,92.76
